                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.80044,                0.68923,                0.91073,                0.85547,                0.82911,                0.87012,                0.74018,                0.60915,                0.66867,                0.84737,             4.1472e-05,             4.1472e-05,             4.1472e-05
                     57,                 1.0317,                0.75736,                0.98438,                0.84668,                0.85443,                 0.8699,                0.76432,                0.54861,                0.62815,                0.83794,             0.00010702,             0.00010702,             0.00010702
                     68,                0.79128,                0.66207,                0.90855,                0.83639,                0.84124,                 0.8674,                0.74476,                0.58691,                0.66905,                0.84392,             3.6557e-05,             3.6557e-05,             3.6557e-05
                     58,                0.97261,                0.71098,                0.97441,                0.83271,                0.86709,                0.87212,                0.76075,                0.57533,                0.62837,                0.84222,             9.9274e-05,             9.9274e-05,             9.9274e-05
                     69,                 0.7853,                0.61065,                0.91774,                0.82485,                0.84177,                0.86621,                0.74903,                 0.5741,                0.66826,                0.84193,             3.1976e-05,             3.1976e-05,             3.1976e-05
                     59,                 1.0396,                0.75195,                0.99507,                0.83421,                0.85984,                0.87249,                0.74619,                0.60774,                0.64015,                0.84688,             9.1762e-05,             9.1762e-05,             9.1762e-05
                     70,                0.81678,                0.62318,                0.92242,                0.83783,                0.83544,                0.86242,                0.74497,                0.58574,                0.67601,                0.84505,             2.7735e-05,             2.7735e-05,             2.7735e-05
                     60,                  1.031,                0.72188,                 0.9907,                0.82802,                0.86709,                0.86707,                0.75474,                0.55224,                 0.6359,                0.83981,             8.4497e-05,             8.4497e-05,             8.4497e-05
                     71,                0.77318,                0.57829,                0.90665,                 0.8506,                0.82911,                0.86123,                0.73989,                0.60199,                0.67277,                0.84961,              2.384e-05,              2.384e-05,              2.384e-05
                     61,                0.99386,                 0.7608,                0.98302,                0.83445,                0.87342,                0.86368,                0.75355,                0.55343,                0.63703,                0.84037,             7.7491e-05,             7.7491e-05,             7.7491e-05
                     72,                0.77761,                0.58605,                 0.9161,                 0.8559,                0.82702,                0.86175,                0.74627,                0.58323,                0.66586,                0.84622,             2.0298e-05,             2.0298e-05,             2.0298e-05
                     62,                0.98709,                0.71705,                0.98455,                0.84355,                0.85316,                0.86157,                0.74829,                0.55617,                0.64272,                 0.8403,             7.0755e-05,             7.0755e-05,             7.0755e-05
                     73,                0.78273,                  0.592,                0.90683,                0.85407,                0.82278,                0.85968,                0.74679,                0.56961,                0.66352,                0.84327,             1.7114e-05,             1.7114e-05,             1.7114e-05
                     63,                0.98725,                0.72565,                0.98622,                0.85417,                0.85443,                0.86252,                 0.7545,                0.53087,                0.62679,                0.83551,               6.43e-05,               6.43e-05,               6.43e-05
                     74,                0.80641,                0.57916,                0.91113,                0.86074,                0.82154,                0.86024,                0.74775,                0.56436,                0.65911,                0.84181,             1.4292e-05,             1.4292e-05,             1.4292e-05
                     64,                 1.0233,                0.73905,                 1.0038,                0.85199,                 0.8481,                0.86639,                0.75014,                0.55136,                0.63795,                0.83791,             5.8134e-05,             5.8134e-05,             5.8134e-05
                     75,                0.80219,                0.59214,                0.92047,                0.86044,                0.82278,                0.86235,                0.75079,                0.56761,                0.66156,                0.84229,             1.1838e-05,             1.1838e-05,             1.1838e-05
                     65,                 1.0014,                0.71774,                0.99027,                0.82548,                0.85443,                0.86908,                0.74158,                0.58309,                0.65038,                0.84197,             5.2268e-05,             5.2268e-05,             5.2268e-05
                     76,                 0.7898,                 2.2767,                0.88914,                0.84905,                0.82278,                0.86371,                0.75211,                0.56622,                0.65795,                0.84176,             9.7556e-06,             9.7556e-06,             9.7556e-06
                     66,                0.83392,                0.70256,                0.93024,                0.83899,                 0.8481,                0.87055,                0.74241,                 0.5902,                0.66805,                0.84137,             4.6711e-05,             4.6711e-05,             4.6711e-05
                     77,                0.78971,                0.58991,                0.91658,                0.84254,                0.82278,                0.86517,                0.75329,                0.57406,                0.65787,                0.84341,             8.0471e-06,             8.0471e-06,             8.0471e-06
                     67,                0.79634,                0.65931,                0.90753,                0.84226,                 0.8481,                0.86669,                0.73812,                0.58459,                0.66455,                0.84146,             4.1472e-05,             4.1472e-05,             4.1472e-05
                     78,                0.80246,                0.58741,                0.91564,                0.83397,                0.84177,                0.86524,                0.75045,                 0.5731,                0.65618,                0.84347,             6.7156e-06,             6.7156e-06,             6.7156e-06
                     68,                0.78413,                0.63942,                 0.9075,                0.81387,                0.86709,                0.86466,                0.74423,                0.57128,                0.66199,                0.84119,             3.6557e-05,             3.6557e-05,             3.6557e-05
                     79,                0.79993,                0.58694,                0.91451,                 0.8371,                0.84563,                0.86642,                0.75015,                0.58856,                0.65418,                0.84598,              5.763e-06,              5.763e-06,              5.763e-06
                     69,                0.77956,                0.60168,                0.91696,                0.82098,                0.87076,                0.86406,                0.74895,                0.56605,                0.65787,                0.84185,             3.1976e-05,             3.1976e-05,             3.1976e-05
                     80,                0.79599,                 0.5955,                 0.9089,                0.83176,                0.84485,                0.86655,                0.75003,                0.57921,                0.65569,                0.84422,             5.1908e-06,             5.1908e-06,             5.1908e-06
                     70,                0.81071,                0.62813,                0.91781,                0.82152,                0.87975,                0.86641,                0.74135,                 0.5879,                0.65964,                0.84622,             2.7735e-05,             2.7735e-05,             2.7735e-05
                     71,                0.78073,                0.57554,                0.90944,                0.83344,                0.87975,                0.86812,                0.73883,                0.61303,                0.66093,                0.85152,              2.384e-05,              2.384e-05,              2.384e-05
                     72,                0.77131,                 0.5869,                0.91374,                0.82587,                0.87975,                0.86715,                0.74175,                0.58891,                0.65363,                0.84765,             2.0298e-05,             2.0298e-05,             2.0298e-05
                     73,                0.76808,                0.59653,                0.90305,                0.83095,                0.86709,                0.86614,                0.74817,                0.57705,                0.64619,                0.84506,             1.7114e-05,             1.7114e-05,             1.7114e-05
                     74,                 0.8142,                0.57761,                0.90857,                  0.829,                0.87975,                0.86523,                0.74974,                0.56459,                0.63979,                0.84168,             1.4292e-05,             1.4292e-05,             1.4292e-05
                     75,                0.78371,                 0.5944,                0.91301,                0.83184,                0.87664,                0.86582,                0.75052,                0.56145,                0.63955,                0.84032,             1.1838e-05,             1.1838e-05,             1.1838e-05
